year,gpu_name_clean,retail_price,used_price,wattage,vram,3dmark
2024,radeon rx 6800 xt,964.0,351.0,300.0,16.0,19187
2024,radeon rx 6800 xt,661.0,375.0,300.0,16.0,19187
2024,radeon rx 6800 xt,698.0,371.0,300.0,16.0,19187
2024,radeon rx 6800 xt,664.0,295.0,300.0,16.0,19187
2024,radeon rx 6800 xt,818.0,360.0,300.0,16.0,19187
2024,radeon rx 6900 xt,1182.0,483.0,300.0,16.0,20621
2024,radeon rx 6800 xt,0.0,362.0,300.0,16.0,19187
2024,radeon rx 6900 xt,985.0,475.0,300.0,16.0,20621
2024,radeon rx 6800 xt,666.0,376.0,300.0,16.0,19187
2024,radeon rx 6800 xt,764.0,405.0,300.0,16.0,19187
2024,radeon rx 6900 xt,1315.0,467.0,300.0,16.0,20621
2024,radeon rx 6800 xt,954.0,410.0,300.0,16.0,19187
2024,radeon rx 6900 xt,1299.0,475.0,300.0,16.0,20621
2024,radeon rx 6800 xt,753.0,408.0,300.0,16.0,19187
2024,radeon rx 6700 xt,771.0,245.0,230.0,12.0,12808
2024,radeon rx 6900 xt,1183.0,428.0,300.0,16.0,20621
2024,radeon rx 6900 xt,1509.0,426.0,300.0,16.0,20621
2024,radeon rx 6800,393.0,326.0,250.0,16.0,15972
2024,radeon rx 6900 xt,979.0,416.0,300.0,16.0,20621
2024,radeon rx 6800,353.0,312.0,250.0,16.0,15972
2024,radeon rx 6900 xt,1014.0,408.0,300.0,16.0,20621
2024,radeon rx 6800,375.0,307.0,250.0,16.0,15972
2024,radeon rx 6900 xt,1509.0,404.0,300.0,16.0,20621
2024,radeon rx 6800,380.0,308.0,250.0,16.0,15972
2024,radeon rx 6900 xt,1101.0,404.0,300.0,16.0,20621
2024,radeon rx 6800,382.0,313.0,250.0,16.0,15972
2024,radeon rx 6900 xt,1509.0,396.0,300.0,16.0,20621
2024,radeon rx 6800,374.0,305.0,250.0,16.0,15972
2024,radeon rx 6800,365.0,313.0,250.0,16.0,15972
2024,radeon rx 6900 xt,1509.0,331.0,300.0,16.0,20621
2024,radeon rx 6800 xt,556.0,409.0,300.0,16.0,19187
2024,radeon rx 7600 xt,311.0,360.0,190.0,16.0,11379
2024,radeon rx 7600 xt,314.0,339.0,190.0,16.0,11379
2024,radeon rx 6700 xt,765.0,237.0,230.0,12.0,12808
2024,radeon rx 6650 xt,234.0,219.0,176.0,8.0,10027
2024,radeon rx 7700 xt,402.0,448.0,245.0,12.0,17245
2024,radeon rx 6650 xt,251.0,226.0,176.0,8.0,10027
2024,radeon rx 7800 xt,508.0,490.0,263.0,16.0,19839
2024,radeon rx 6600 xt,499.0,169.0,160.0,8.0,9707
2024,radeon rx 7800 xt,494.0,493.0,263.0,16.0,19839
2024,radeon rx 7800 xt,496.0,544.0,263.0,16.0,19839
2024,radeon rx 6600 xt,499.0,144.0,160.0,8.0,9707
2024,radeon rx 7800 xt,504.0,489.0,263.0,16.0,19839
2024,radeon rx 7800 xt,495.0,441.0,263.0,16.0,19839
2024,radeon rx 7800 xt,485.0,451.0,263.0,16.0,19839
2024,radeon rx 6600 xt,499.0,150.0,160.0,8.0,9707
2024,radeon rx 7800 xt,493.0,436.0,263.0,16.0,19839
2024,radeon rx 6600 xt,499.0,148.0,160.0,8.0,9707
2024,radeon rx 6650 xt,242.0,219.0,176.0,8.0,10027
2024,radeon rx 7800 xt,482.0,438.0,263.0,16.0,19839
2024,radeon rx 7800 xt,481.0,469.0,263.0,16.0,19839
2024,radeon rx 6600 xt,373.0,161.0,160.0,8.0,9707
2024,radeon rx 6600 xt,443.0,163.0,160.0,8.0,9707
2024,radeon rx 7800 xt,484.0,425.0,263.0,16.0,19839
2024,radeon rx 6600 xt,447.0,171.0,160.0,8.0,9707
2024,radeon rx 7800 xt,470.0,477.0,263.0,16.0,19839
2024,radeon rx 6600 xt,440.0,180.0,160.0,8.0,9707
2024,radeon rx 7800 xt,481.0,525.0,263.0,16.0,19839
2024,radeon rx 6600 xt,449.0,185.0,160.0,8.0,9707
2024,radeon rx 7900 gre,563.0,0.0,260.0,16.0,21644
2024,radeon rx 6600 xt,546.0,185.0,160.0,8.0,9707
2024,radeon rx 7900 gre,549.0,649.0,260.0,16.0,21644
2024,radeon rx 6600 xt,493.0,187.0,160.0,8.0,9707
2024,radeon rx 7900 gre,543.0,534.0,260.0,16.0,21644
2024,radeon rx 6600 xt,482.0,154.0,160.0,8.0,9707
2024,radeon rx 7900 gre,536.0,501.0,260.0,16.0,21644
2024,radeon rx 6650 xt,232.0,205.0,176.0,8.0,10027
2024,radeon rx 6650 xt,227.0,214.0,176.0,8.0,10027
2024,radeon rx 7600 xt,312.0,286.0,190.0,16.0,11379
